DATE,NUMBER
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,1
2020-01-26,1
2020-01-27,2
2020-01-28,3
2020-01-29,4
2020-01-30,4
2020-01-31,4
2020-02-01,4
2020-02-02,4
2020-02-03,4
2020-02-04,5
2020-02-05,7
2020-02-06,7
2020-02-07,7
2020-02-08,7
2020-02-09,7
2020-02-10,7
2020-02-11,7
2020-02-12,7
2020-02-13,7
2020-02-14,8
2020-02-15,8
2020-02-16,8
2020-02-17,8
2020-02-18,8
2020-02-19,8
2020-02-20,9
2020-02-21,9
2020-02-22,9
2020-02-23,10
2020-02-24,11
2020-02-25,11
2020-02-26,12
2020-02-27,14
2020-02-28,16
2020-02-29,20
2020-03-01,24
2020-03-02,27
2020-03-03,33
2020-03-04,34
2020-03-05,47
2020-03-06,54
2020-03-07,60
2020-03-08,66
2020-03-09,79
2020-03-10,96
2020-03-11,118
2020-03-12,154
2020-03-13,191
2020-03-14,249
2020-03-15,313
2020-03-16,441
2020-03-17,569
2020-03-18,727
2020-03-19,873
2020-03-20,1087
2020-03-21,1331
2020-03-22,1470
2020-03-23,2092
2020-03-24,2792
2020-03-25,3409
2020-03-26,4043
2020-03-27,4757
2020-03-28,5655
2020-03-29,6320
2020-03-30,7474
2020-03-31,8612
2020-04-01,9730
2020-04-02,11283
2020-04-03,12549
2020-04-04,14018
2020-04-05,15512
2020-04-06,16667
2020-04-07,17897
2020-04-08,19291
2020-04-09,20765
2020-04-10,22148
2020-04-11,23318
2020-04-12,24383
2020-04-13,25680
2020-04-14,27063
2020-04-15,28379
2020-04-16,30106
2020-04-17,31927
2020-04-18,33383
2020-04-19,35056
2020-04-20,36831
