// WHO Reports: https://www.who.int/emergencies/diseases/novel-coronavirus-2019/situation-reports
// Inspired by: https://twitter.com/paulg/status/1235247452145451013
// Note: The growth rate does not seem sustainable.
// The projected OoC infections assumes a constant doubling of roughly every 4 days.
Date	Projected-OoC-Infections WHO-Reported-OoC-Infections
2020-02-29	5,629   6,009
2020-03-01	6,755   7,169
2020-03-02	8,106   8,774
2020-03-03	9,727   10,565
2020-03-04	11,673  12,669
2020-03-05	14,007  14,768
2020-03-06	16,809  17,481
2020-03-07	20,170  21,110
2020-03-08	24,205  24,727
2020-03-09	29,045  28,674
2020-03-10	34,855  32,778
2020-03-11	41,825  37,371
2020-03-12	50,191  44,067
2020-03-13	60,229  51,767
2020-03-14	72,274  61,518
2020-03-15	86,729  72,469
2020-03-16	104,075 84,434
2020-03-17	124,890
2020-03-18	149,868
2020-03-19	179,842
2020-03-20	215,810
2020-03-21	258,972
2020-03-22	310,766
2020-03-23	372,920
2020-03-24	447,504
2020-03-25	537,004
2020-03-26	644,405
2020-03-27	773,286
2020-03-28	927,944
2020-03-29	1,113,532
2020-03-30	1,336,239
2020-03-31	1,603,486
2020-04-01	1,924,184
2020-04-02	2,309,021
2020-04-03	2,770,825
2020-04-04	3,324,990
2020-04-05	3,989,988
2020-04-06	4,787,985
2020-04-07	5,745,582
2020-04-08	6,894,698
2020-04-09	8,273,638
2020-04-10	9,928,366
2020-04-11	11,914,039
2020-04-12	14,296,847
2020-04-13	17,156,216
2020-04-14	20,587,459
2020-04-15	24,704,951
2020-04-16	29,645,941
2020-04-17	35,575,129
2020-04-18	42,690,155
2020-04-19	51,228,186
2020-04-20	61,473,824
2020-04-21	73,768,588
2020-04-22	88,522,306
2020-04-23	106,226,767
2020-04-24	127,472,121
2020-04-25	152,966,545
2020-04-26	183,559,854
2020-04-27	220,271,825
2020-04-28	264,326,190
2020-04-29	317,191,428
2020-04-30	380,629,713
2020-05-01	456,755,656
2020-05-02	548,106,787
2020-05-03	657,728,145
2020-05-04	789,273,774
2020-05-05	947,128,528
2020-05-06	1,136,554,234
2020-05-07	1,363,865,081
2020-05-08	1,636,638,097
2020-05-09	1,963,965,716
2020-05-10	2,356,758,860
2020-05-11	2,828,110,632
2020-05-12	3,393,732,758
2020-05-13	4,072,479,309
2020-05-14	4,886,975,171
2020-05-15	5,864,370,206
2020-05-16	7,037,244,247
