DATE,NUMBER,
2020-02-15,15,
2020-02-16,15,
2020-02-17,15,
2020-02-18,15,
2020-02-19,15,
2020-02-20,15,
2020-02-21,35,
2020-02-22,35,
2020-02-23,35,
2020-02-24,53,
2020-02-25,57,
2020-02-26,60,
2020-02-27,60,
2020-02-28,63,
2020-02-29,68,
2020-03-01,75,
2020-03-02,100,
2020-03-03,124,
2020-03-04,158,
2020-03-05,221,
2020-03-06,319,
2020-03-07,435,
2020-03-08,541,
2020-03-09,704,
2020-03-10,994,
2020-03-11,1301,
2020-03-12,1697,
2020-03-13,2247,
2020-03-14,2943,
2020-03-15,3680,
2020-03-16,4663,
2020-03-17,6411,
2020-03-18,9259,
2020-03-19,13789,
2020-03-20,19383, 264 
2020-03-21,25896, 316 
2020-03-22,33546, 419 
2020-03-23,43718, 547 
2020-03-24,53655, 698 
2020-03-25,65797, 935 
2020-03-26,82150," 1,177 "
2020-03-27,100514," 1,546 "
2020-03-28,123351," 2,211 "
2020-03-29,142047," 2,484 "
2020-03-30,163479," 3,148 "
2020-03-31,187347," 3,860 "
2020-04-01,215081," 5,109 "
2020-04-02,244230," 5,886 "
2020-04-03,276965," 7,391 "
2020-04-04,311357," 8,452 "
2020-04-05,334125," 9,557 "
2020-04-06,366906," 10,868 "
2020-04-07,395739," 12,796 "
