DATE,Running Sum of Case Count
2020-01-21,1
2020-01-22,2
2020-02-01,3
2020-02-05,4
2020-02-14,6
2020-02-15,7
2020-02-16,8
2020-02-20,10
2020-02-21,11
2020-02-24,12
2020-02-26,14
2020-02-28,15
2020-02-29,17
2020-03-01,22
2020-03-02,28
2020-03-03,37
2020-03-04,43
2020-03-05,53
2020-03-06,60
2020-03-07,71
2020-03-08,78
2020-03-09,97
2020-03-10,116
2020-03-11,140
2020-03-12,170
2020-03-13,212
2020-03-14,260
2020-03-15,294
2020-03-16,346
2020-03-17,429
2020-03-18,499
2020-03-19,550
2020-03-20,614
2020-03-21,680
2020-03-22,719
2020-03-23,787
2020-03-24,853
2020-03-25,925
2020-03-26,1011
2020-03-27,1086
2020-03-28,1147
2020-03-29,1218
2020-03-30,1301
2020-03-31,1390
2020-04-01,1515
2020-04-02,1637
2020-04-03,1753
2020-04-04,1848
2020-04-05,1962
2020-04-06,2132
2020-04-07,2309
2020-04-08,2463
2020-04-09,2615
2020-04-10,2781
2020-04-11,2949
2020-04-12,3079
2020-04-13,3365
2020-04-14,3606
2020-04-15,3860
2020-04-16,4012
2020-04-17,4212
2020-04-18,4426
2020-04-19,4529
2020-04-20,4695
2020-04-21,4812
2020-04-22,4943
2020-04-23,5043
2020-04-24,5120
2020-04-25,5214
2020-04-26,5257
2020-04-27,5324
2020-04-28,5345
2020-04-29,5360
